Sistema de Informa��es Hidrol�gicas
Vers�o Web 3.0
� 2018 Ag�ncia Nacional de �guas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluvi�metro, 2 = Pluvi�grafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restri��es da consulta:
C�digo da Esta��o:01036013


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1036013;1;01/05/1984;1;51,4;265,5;19;27;1;1;0;1537,30004882813;1;0,1;9,7;0,5;7,6;0,0;4,5;0,2;0,0;11,9;3,6;7,0;4,0;24,8;0,2;1,8;3,5;1,5;10,3;51,4;1,5;4,1;25,3;28,7;28,7;3,8;0,0;2,4;0,0;4,2;24,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/04/1984;1;106,5;318,9;19;25;1;1;0;1537,30004882813;1;0,0;16,2;0,1;0,0;1,7;0,0;9,0;15,1;19,2;0,0;8,4;8,8;7,6;0,0;10,4;12,7;13,0;2,0;106,5;18,4;12,3;2,9;6,0;9,2;13,2;4,2;8,6;9,7;2,5;1,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/03/1984;1;85,0;137,8;16;12;1;1;0;1537,30004882813;1;16,0;0,0;0,4;3,8;0,0;0,3;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,5;85,0;0,2;0,0;8,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;18,8;1,5;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/02/1984;1;11,0;38,4;4;11;1;1;0;1537,30004882813;1;0,0;8,6;1,8;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;3,6;1,9;0,2;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,6;9,6;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
1036013;1;01/01/1984;1;27,0;46,2;12;9;1;1;0;1537,30004882813;1;0,0;7,1;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,1;27,0;0,3;7,3;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/12/1983;1;4,5;9,7;28;10;1;1;0;;0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,1;0,0;0,5;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,3;4,5;0,0;1,2;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/11/1983;1;86,9;102,0;30;6;1;1;0;;0;6,1;0,0;2,0;4,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/08/1983;1;16,8;105,4;19;27;1;1;0;;0;2,8;14,2;0,1;0,2;7,1;2,0;8,2;4,0;0,1;0,0;7,8;0,5;0,6;4,1;0,1;0,6;1,1;0,0;16,8;1,6;0,0;6,9;3,9;0,8;1,2;2,1;1,0;1,8;5,5;10,3;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/07/1983;1;33,9;179,1;15;20;1;1;0;;0;0,0;0,0;0,0;0,1;6,4;3,7;5,6;25,9;17,6;0,0;11,0;2,8;4,0;0,0;33,9;5,5;7,2;0,0;0,0;0,0;0,0;0,0;4,4;0,0;3,7;0,6;0,2;4,0;3,5;10,6;28,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/06/1983;1;56,4;249,4;4;25;1;1;0;;0;0,0;6,9;14,6;56,4;23,4;19,3;18,8;2,5;0,4;0,0;0,4;7,0;0,1;0,6;38,2;0,1;0,3;5,5;0,0;8,8;1,2;5,3;19,5;7,2;0,4;0,0;0,0;1,2;0,2;11,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/05/1983;1;8,8;41,5;25;14;1;1;0;;0;0,0;0,0;0,0;0,6;0,0;0,4;0,0;1,0;0,0;2,0;0,7;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,5;8,8;3,0;5,9;0,0;1,8;8,8;5,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/04/1983;1;35,8;119,6;5;19;1;1;0;;0;3,6;0,0;0,0;0,4;35,8;25,4;0,4;0,2;0,0;5,7;0,0;0,8;15,4;0,0;0,0;1,0;0,3;1,2;0,7;4,0;0,0;0,0;0,0;0,2;0,1;2,7;1,2;20,5;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/03/1983;1;78,0;196,5;21;20;1;1;0;;0;0,0;0,0;0,0;0,2;0,3;1,6;14,2;12,4;0,0;11,5;1,2;0,0;0,0;0,0;0,0;5,3;4,0;18,4;8,3;6,2;78,0;4,2;9,0;1,0;2,1;10,7;0,7;7,2;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/02/1983;1;14,7;89,1;19;16;1;1;0;;0;10,1;14,4;0,0;0,0;0,0;12,5;0,6;2,2;0,6;2,9;0,0;0,0;0,0;0,1;3,4;1,8;6,8;5,3;14,7;11,0;2,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1036013;1;01/01/1983;1;11,5;24,5;29;6;1;1;0;;0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,2;11,5;0,0;0,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/12/1982;1;4,8;18,2;30;9;1;1;0;1665,30004882813;1;0,0;0,0;0,6;0,0;4,6;1,8;0,0;0,0;0,0;0,0;1,4;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,1;1,2;0,0;4,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/11/1982;1;3,3;6,1;2;8;1;1;0;1665,30004882813;1;0,0;3,3;0,3;0,0;0,0;0,0;0,0;0,0;0,7;0,5;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,7;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/10/1982;1;4,2;10,8;27;10;1;1;0;1665,30004882813;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,5;0,1;0,0;0,2;0,5;4,2;2,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/09/1982;1;23,0;90,4;16;20;1;1;0;1665,30004882813;1;0,2;0,0;14,6;0,0;0,4;2,0;5,5;4,0;0,0;0,8;0,2;5,8;5,2;0,0;2,0;23,0;5,1;3,6;0,2;0,0;0,0;5,4;0,0;1,2;2,0;7,8;0,0;0,0;0,0;1,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/08/1982;1;43,1;164,0;10;26;1;1;0;1665,30004882813;1;1,5;1,6;11,5;0,0;0,6;20,3;1,5;9,2;3,2;43,1;6,9;0,7;0,7;19,4;1,0;4,5;5,5;1,4;0,1;0,0;0,0;0,0;2,1;2,6;6,8;0,5;12,8;1,5;2,2;2,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/07/1982;1;22,0;137,7;1;25;1;1;0;1665,30004882813;1;22,0;8,9;3,6;7,6;1,1;2,2;1,3;8,4;0,0;0,4;0,0;0,2;5,8;0,0;0,0;7,0;1,9;13,2;18,0;1,7;3,3;0,1;4,9;0,0;6,6;10,6;2,6;0,0;0,6;3,5;2,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/06/1982;1;41,6;166,6;14;25;1;1;0;1665,30004882813;1;2,4;0,2;2,0;16,6;8,2;0,9;0,5;0,0;4,5;3,6;5,7;0,0;7,3;41,6;1,2;0,0;0,9;3,8;10,1;0,4;1,5;0,4;1,2;17,1;0,0;14,0;4,4;0,0;2,8;15,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/05/1982;1;126,6;457,5;7;25;1;1;0;1665,30004882813;1;10,2;107,6;14,1;9,0;6,1;9,6;126,6;27,8;1,2;0,0;16,9;15,0;5,1;5,9;31,0;10,6;40,5;4,1;0,1;4,8;0,1;0,0;0,0;0,0;0,0;0,0;0,4;3,4;1,6;5,1;0,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/04/1982;1;115,7;379,6;22;21;1;1;0;1665,30004882813;1;25,7;3,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;1,9;4,3;0,3;1,2;5,6;0,1;1,0;0,2;0,6;0,0;32,3;115,7;10,0;0,0;9,4;17,1;35,0;61,0;43,5;11,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/03/1982;1;24,6;29,4;31;8;1;1;0;1665,30004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,8;0,8;0,2;0,0;0,0;0,0;0,0;1,4;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;24,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/02/1982;1;62,4;192,5;4;18;1;1;0;1665,30004882813;1;29,2;0,0;1,1;62,4;0,0;0,0;0,0;0,0;0,0;4,6;7,6;2,4;0,0;4,8;4,0;15,4;4,2;13,4;28,9;0,0;10,8;0,6;0,0;0,3;0,0;2,2;0,2;0,4;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1036013;1;01/01/1982;1;3,8;12,5;1;11;1;1;0;1665,30004882813;1;3,8;1,4;0,0;0,0;0,0;0,0;0,0;1,7;0,6;1,4;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,2;0,1;0,0;2,9;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/12/1981;1;11,1;66,6;21;20;1;1;0;1135,19995117188;1;0,0;0,0;0,5;9,2;0,2;1,4;2,8;2,7;6,2;1,5;0,8;0,0;1,6;0,0;5,0;0,0;0,0;6,6;2,9;5,3;11,1;0,8;0,0;3,4;3,0;1,4;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/11/1981;1;21,0;33,7;2;13;1;1;0;1135,19995117188;1;2,6;21,0;0,8;0,0;0,3;0,0;3,4;0,3;0,9;0,1;0,0;0,4;0,0;0,0;0,6;0,0;0,0;0,0;2,0;0,2;0,0;0,0;0,0;1,1;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/10/1981;1;6,5;7,4;25;5;1;1;0;1135,19995117188;1;0,0;0,3;0,0;0,0;0,0;0,4;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;6,5;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/09/1981;1;38,6;74,9;9;17;1;1;0;1135,19995117188;1;8,9;0,0;0,3;0,0;0,0;0,0;0,1;0,0;38,6;0,6;0,2;8,5;0,3;9,0;2,2;0,0;0,0;0,0;0,5;0,0;0,3;0,9;0,4;0,0;0,9;3,0;0,0;0,0;0,2;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/08/1981;1;10,4;64,7;30;20;1;1;0;1135,19995117188;1;0,0;0,1;2,4;0,1;8,8;0,1;0,1;7,4;5,6;6,2;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;0,0;0,4;9,7;2,3;2,6;1,7;0,1;3,0;1,6;10,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/07/1981;1;25,5;96,1;29;23;1;1;0;1135,19995117188;1;3,2;0,3;0,0;0,0;0,4;3,2;0,5;5,6;0,0;1,1;0,1;2,1;1,2;2,6;0,0;12,1;1,8;5,0;0,0;2,5;13,5;2,0;0,0;2,2;2,8;0,0;0,0;6,8;25,5;1,4;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/06/1981;1;55,2;175,2;4;23;1;1;0;1135,19995117188;1;7,0;1,8;6,5;55,2;3,3;5,0;0,0;30,6;7,7;2,5;0,5;16,1;0,3;0,0;0,2;1,4;0,4;0,0;0,0;2,2;0,1;0,0;0,0;1,6;3,6;1,7;15,5;0,0;1,4;10,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/05/1981;1;37,3;148,6;25;25;1;1;0;1135,19995117188;1;2,4;0,1;2,5;1,3;0,0;5,0;6,7;1,5;11,5;4,6;2,7;0,4;1,9;0,0;0,0;5,7;19,6;34,6;0,3;0,1;0,2;4,8;0,4;0,1;37,3;0,0;0,8;1,2;0,0;0,0;2,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
